movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Two Much,15-Mar-96,Romantic Comedy,PG-13,1078555.00,2057055.00
Un indien dans la ville,22-Mar-96,Comedy,PG,1029731.00,1963937.00
James and the Giant Peach,12-Apr-96,Adventure,PG,28921264.00,55159783.00
Celtic Pride,19-Apr-96,Comedy,PG-13,9240378.00,17623615.00
Last Dance,3-May-96,Drama,R,5857534.00,11171714.00
Boys,10-May-96,Drama,PG-13,21930418.00,41826566.00
Spy Hard,24-May-96,Comedy,PG-13,26936265.00,51373912.00
Eddie,31-May-96,Comedy,PG-13,31369401.00,59828966.00
The Rock,7-Jun-96,Action,R,134069511.00,255702705.00
The Hunchback of Notre Dame,21-Jun-96,Adventure,G,100138851.00,190988799.00
Phenomenon,5-Jul-96,Drama,PG,104636382.00,199559799.00
Kazaam,17-Jul-96,Comedy,PG,18880508.00,36009655.00
Jack,9-Aug-96,Drama,PG-13,58617334.00,111792852.00
First Kid,30-Aug-96,Comedy,PG,26465920.00,50465108.00
The Rich Man's Wife,13-Sep-96,Thriller/Suspense,R,8538318.00,16284619.00
D3: The Mighty Ducks,4-Oct-96,Comedy,PG,22936273.00,43713554.00
The Associate,25-Oct-96,Comedy,PG-13,12772657.00,24333094.00
Ransom,8-Nov-96,Action,R,136492681.00,259807820.00
The War at Home,20-Nov-96,,R,34368.00,65543.00
101 Dalmatians,27-Nov-96,Comedy,G,136189294.00,258728898.00
The Preacher's Wife,13-Dec-96,Drama,PG,48102795.00,91076877.00
Evita,25-Dec-96,Musical,PG,50047179.00,92077628.00
Metro,17-Jan-97,Action,R,32017895.00,58804106.00
Prefontaine,24-Jan-97,Drama,PG-13,590817.00,1085093.00
Shadow Conspiracy,31-Jan-97,Thriller/Suspense,R,2154540.00,3957025.00
That Darn Cat,14-Feb-97,Comedy,PG,18301828.00,33613158.00
Jungle 2 Jungle,7-Mar-97,Comedy,PG,59925026.00,110058379.00
The Sixth Man,28-Mar-97,Comedy,PG-13,14765099.00,27117599.00
Grosse Pointe Blank,11-Apr-97,Black Comedy,R,28084357.00,51579764.00
Romy and Michele's High School Reunion,25-Apr-97,Comedy,R,29235353.00,53693680.00
Gone Fishin',30-May-97,Comedy,PG,19745922.00,36265379.00
Con Air,6-Jun-97,Action,R,101117573.00,185712664.00
Hercules,13-Jun-97,Adventure,G,99112101.00,182029412.00
George Of The Jungle,16-Jul-97,Comedy,PG,105263257.00,193326632.00
Nothing To Lose,18-Jul-97,Comedy,R,44480039.00,81692095.00
Air Bud,1-Aug-97,Comedy,PG,24646936.00,45266588.00
G.I. Jane,22-Aug-97,Drama,R,48169156.00,88467531.00
A Thousand Acres,19-Sep-97,Drama,R,7928412.00,14561324.00
Washington Square,5-Oct-97,Drama,PG,1775644.00,3257546.00
Rocket Man,10-Oct-97,Comedy,PG,15448043.00,28371890.00
Playing God,17-Oct-97,Thriller/Suspense,R,4166918.00,7652965.00
Flubber,26-Nov-97,Comedy,PG,92993801.00,170406423.00
An American Werewolf in Paris,25-Dec-97,Horror,R,26570463.00,48546161.00
Mr. Magoo,25-Dec-97,Comedy,PG,21437192.00,39145784.00
Kundun,25-Dec-97,Drama,PG-13,5686694.00,10236836.00
Deep Rising,30-Jan-98,Action,R,11203026.00,20136775.00
Krippendorf's Tribe,27-Feb-98,Comedy,PG-13,7571115.00,13608633.00
An Alan Smithee Film: Burn Hollywood …,27-Feb-98,Comedy,R,45779.00,82277.00
Meet the Deedles,27-Mar-98,Comedy,PG,4356126.00,7829877.00
He Got Game,1-May-98,Drama,R,21567853.00,38766948.00
The Horse Whisperer,15-May-98,Drama,PG-13,75383563.00,135497531.00
